prod_ai,drug_name,eu_num,hum_or_vet,procedure_type
Paroxetine,Remood,,Human,Referral
Paroxetine,Rexetin,,Human,Referral
Paroxetine,Rextine,,Human,Referral
Paroxetine,Roxac,,Human,Referral
Paroxetine,Sereupin,,Human,Referral
Paroxetine,Serodur,,Human,Referral
Paroxetine,Serorex,,Human,Referral
Paroxetine,Seroxat,,Human,Referral
Paroxetine,Seroxetabs,,Human,Referral
Paroxetine,Sopax,,Human,Referral
Paroxetine,Tagonis,,Human,Referral
Paroxetine,Titroxatine,,Human,Referral
Paroxetine,Trapar,,Human,Referral
Paroxetine,Varoxetin,,Human,Referral
Paroxetine,Xetin,,Human,Referral
Paroxetine,Zwapar,,Human,Referral
pasireotide,Signifor,EU/1/12/753,Human,Centralised
patiromer,Veltassa,EU/1/17/1179,Human,Centralised
Pazopanib hydrochloride,Votrient,EU/1/10/628,Human,Centralised
pegaptanib sodium,Macugen,EU/1/05/325,Human,Centralised
pegaspargase,Oncaspar,EU/1/15/1070,Human,Centralised
pegbovigrastim,Imrestor,EU/2/15/193,Veterinary,Centralised
Pegfilgrastim,Neulasta,EU/1/02/227,Human,Centralised
Pegfilgrastim,Neupopeg,EU/1/02/228,Human,Centralised
Pegfilgrastim,Ristempa,EU/1/15/996,Human,Centralised
peginterferon alfa-2a,Pegasys,EU/1/02/221,Human,Centralised
Peginterferon alfa-2b,PegIntron,EU/1/00/131,Human,Centralised
Peginterferon alfa-2b,ViraferonPeg,EU/1/00/132,Human,Centralised
peginterferon beta-1a,Plegridy,EU/1/14/934,Human,Centralised
pegloticase,Krystexxa,EU/1/12/810,Human,Centralised
Pegvisomant ,Somavert,EU/1/02/240,Human,Centralised
pembrolizumab,KEYTRUDA,EU/1/15/1024,Human,Centralised
pemetrexed,Alimta,EU/1/04/290,Human,Centralised
pemetrexed,Armisarte,EU/1/15/1063,Human,Centralised
pemetrexed,Ciambra,EU/1/15/1055,Human,Centralised
pemetrexed,Pemetrexed Accord,EU/1/15/1071,Human,Centralised
pemetrexed,Pemetrexed Fresenius Kabi,EU/1/16/1115,Human,Centralised
pemetrexed,Pemetrexed Hospira,EU/1/15/1057,Human,Centralised
pemetrexed,Pemetrexed Hospira UK Limited,EU/1/17/1183,Human,Centralised
pemetrexed,Pemetrexed Lilly,EU/1/15/1034,Human,Centralised
pemetrexed,Pemetrexed Sandoz,EU/1/15/1037,Human,Centralised
pemetrexed,Pemetrexed medac,EU/1/15/1038,Human,Centralised
pentosan polysulfate sodium,Elmiron,EU/1/17/1189,Human,Centralised
peramivir,Alpivab,EU/1/18/1269,Human,Centralised
Perampanel,Fycompa,EU/1/12/776,Human,Centralised
perflutren,Luminity,EU/1/06/361,Human,Centralised
perflutren,Optison,EU/1/98/065,Human,Centralised
perindopril tert-butylamine salt,Acertil,,Human,Referral
perindopril tert-butylamine salt,Coverax,,Human,Referral
perindopril tert-butylamine salt,Coversum,,Human,Referral
perindopril tert-butylamine salt,Coversyl,,Human,Referral
perindopril tert-butylamine salt,Electan,,Human,Referral
perindopril tert-butylamine salt,Perindopril,,Human,Referral
perindopril tert-butylamine salt,Perindopril (Coversyl),,Human,Referral
perindopril tert-butylamine salt,Procaptan,,Human,Referral
peritoneal dialysis solutions,Dianeal PD4 and Extraneal and associated names (Baxter - add USA site),,Human,Referral
peritoneal dialysis solutions,"Dianeal, Extraneal and Nutrineal and associated names (Baxter- add 3 sites)",,Human,Referral
peritoneal dialysis solutions,"Dianeal, Extraneal, Nutrineal, Monosol and sodium chloride 0,9% solution for haemodialysis (Baxter - Castlebar site)",,Human,Referral
peritoneal dialysis solutions,Extraneal,,Human,Referral
peritoneal dialysis solutions,"    ,,",,Human,Referral
peritoneal dialysis solutions,"    ,,",,Human,Referral
peritoneal dialysis solutions,Monosol,,Human,Referral
peritoneal dialysis solutions,Natriumklorid Baxter 9 mg/ml,,Human,Referral
peritoneal dialysis solutions,Nutrineal,,Human,Referral
peritoneal dialysis solutions,"    ,,",,Human,Referral
peritoneal dialysis solutions,"    ,,",,Human,Referral
peritoneal dialysis solutions,"Sodium chloride 0,9% solution for haemodialysis",,Human,Referral
pertuzumab,Perjeta,EU/1/13/813,Human,Centralised
Phendimetrazine,Anoran,,Human,Referral
Phendimetrazine,Phendimetrazine,,Human,Referral
Phendimetrazine,Plegine,,Human,Referral
Phenmetrazine / Fenbutrazate,Anoran,,Human,Referral
Phenmetrazine / Fenbutrazate,"    ,,",,Human,Referral
Phenmetrazine / Fenbutrazate,Antiadipositum x-112,,Human,Referral
Phenmetrazine / Fenbutrazate,Antiadipositum x-112 S,,Human,Referral
Phenmetrazine / Fenbutrazate,Antiobes,,Human,Referral
Phenmetrazine / Fenbutrazate,Antiobes Retard,,Human,Referral
Phenmetrazine / Fenbutrazate,Cafilon,,Human,Referral
Phenmetrazine / Fenbutrazate,Dinintel,,Human,Referral
Phenmetrazine / Fenbutrazate,"    ,,",,Human,Referral
Phenmetrazine / Fenbutrazate,Drenur,,Human,Referral
Phenmetrazine / Fenbutrazate,"    ,,",,Human,Referral
Phenmetrazine / Fenbutrazate,Eventin,,Human,Referral
Phenmetrazine / Fenbutrazate,Exponcit,,Human,Referral
Phenmetrazine / Fenbutrazate,Exponcit N,,Human,Referral
Phenmetrazine / Fenbutrazate,Fasupond,,Human,Referral
Phenmetrazine / Fenbutrazate,"    ,,",,Human,Referral
Phenmetrazine / Fenbutrazate,Fenbutrazate,,Human,Referral
Phenmetrazine / Fenbutrazate,Fenproporex,,Human,Referral
Phenmetrazine / Fenbutrazate,"    ,,",,Human,Referral
Phenmetrazine / Fenbutrazate,Finedal,,Human,Referral
Phenmetrazine / Fenbutrazate,"    ,,",,Human,Referral
Phenmetrazine / Fenbutrazate,Grasmin,,Human,Referral
Phenmetrazine / Fenbutrazate,"    ,,",,Human,Referral
Phenmetrazine / Fenbutrazate,Incital,,Human,Referral
Phenmetrazine / Fenbutrazate,"    ,,",,Human,Referral
Phenmetrazine / Fenbutrazate,Mirapront-N,,Human,Referral
Phenmetrazine / Fenbutrazate,"    ,,",,Human,Referral
Phenmetrazine / Fenbutrazate,Pesex,,Human,Referral
Phenmetrazine / Fenbutrazate,Pesex-R,,Human,Referral
Phenmetrazine / Fenbutrazate,Phenmetrazine,,Human,Referral
Phenmetrazine / Fenbutrazate,Plegine,,Human,Referral
Phenmetrazine / Fenbutrazate,"    ,,",,Human,Referral
Phenmetrazine / Fenbutrazate,Rondimen,,Human,Referral
Phenmetrazine / Fenbutrazate,"    ,,",,Human,Referral
Phenmetrazine / Fenbutrazate,Tegisec,,Human,Referral
Phenmetrazine / Fenbutrazate,"    ,,",,Human,Referral
Phenmetrazine / Fenbutrazate,Vita - Schlanktropfen,,Human,Referral
Phenmetrazine / Fenbutrazate,"    ,,",,Human,Referral
Phentermine,Adipex Retard,,Human,Referral
Phentermine,Amfepramone,,Human,Referral
Phentermine,Amorphan Depot,,Human,Referral
Phentermine,Anoran,,Human,Referral
Phentermine,Anorex,,Human,Referral
Phentermine,Antiadipositum,,Human,Referral
Phentermine,Antiadipositum x-112 S,,Human,Referral
Phentermine,Antiobes Retard,,Human,Referral
Phentermine,Apisate,,Human,Referral
Phentermine,Atractil,,Human,Referral
Phentermine,Aviposan,,Human,Referral
Phentermine,Bea - Kapseln Rot-weiss,,Human,Referral
Phentermine,Cafilon,,Human,Referral
Phentermine,Delgamer,,Human,Referral
Phentermine,Dicel,,Human,Referral
Phentermine,Diethylpropion Hydrochloride,,Human,Referral
Phentermine,Diethylpropion Poudre,,Human,Referral
Phentermine,Dietil - Retard,,Human,Referral
Phentermine,Dinintel,,Human,Referral
Phentermine,Dobesin,,Human,Referral
Phentermine,Drenur,,Human,Referral
Phentermine,Duromine,,Human,Referral
Phentermine,Exponcit N,,Human,Referral
Phentermine,Falagan,,Human,Referral
Phentermine,Fasupond,,Human,Referral
Phentermine,Fenproporex,,Human,Referral
Phentermine,Finedal,,Human,Referral
Phentermine,Grasmin,,Human,Referral
Phentermine,Incital,,Human,Referral
Phentermine,Ionamin,,Human,Referral
Phentermine,Linea,,Human,Referral
Phentermine,Linea Valeas,,Human,Referral
Phentermine,Menutil,,Human,Referral
Phentermine,Mirapront,,Human,Referral
Phentermine,Mirapront-N,,Human,Referral
Phentermine,Moderatan,,Human,Referral
Phentermine,Panbesy Nyscaps,,Human,Referral
Phentermine,Pesex-R,,Human,Referral
Phentermine,Phentermine,,Human,Referral
Phentermine,Plegine,,Human,Referral
Phentermine,Prefamone,,Human,Referral
Phentermine,Regenon,,Human,Referral
Phentermine,Rondimen,,Human,Referral
Phentermine,Schlank - Dragees Resana,,Human,Referral
Phentermine,Tegisec,,Human,Referral
Phentermine,Tenuate Dospan,,Human,Referral
Phentermine,Teronac,,Human,Referral
Phentermine,Vita - Schlanktropfen Schuck,,Human,Referral
phentermine/topiramate,Qsiva,,Human,Centralised Refusal
phenylephrine / ketorolac,Omidria,EU/1/15/1018,Human,Centralised
pholcodine,Atouxx,,Human,Referral
pholcodine,Bell Pholcodine Linctus,,Human,Referral
pholcodine,Bell Strong Pholcodine Linctus,,Human,Referral
pholcodine,Benylin,,Human,Referral
pholcodine,"Biocalyptol,",,Human,Referral
pholcodine,Boots Day cold and Flu relief,,Human,Referral
pholcodine,Boots Dry Cough,,Human,Referral
pholcodine,Boots Pharmacy cold and Flu,,Human,Referral
pholcodine,Boots Pholcodine Linctus BP,,Human,Referral
pholcodine,Boots cough relief,,Human,Referral
pholcodine,Broncalene,,Human,Referral
pholcodine,Broncho-Pectoralis Pholcodine,,Human,Referral
pholcodine,Broncorinol,,Human,Referral
pholcodine,Caltoson Balsamico,,Human,Referral
pholcodine,Care Pholcodine,,Human,Referral
pholcodine,Clarix,,Human,Referral
pholcodine,Codotussyl,,Human,Referral
pholcodine,Cofsed Linctus,,Human,Referral
pholcodine,Cofsed Liquid,,Human,Referral
pholcodine,Cotrane Folcodine,,Human,Referral
pholcodine,Cough Nurse Night,,Human,Referral
pholcodine,Covonia,,Human,Referral
pholcodine,Cupal Linctus,,Human,Referral
pholcodine,Day Nurse,,Human,Referral
pholcodine,Day Nurse Capsules,,Human,Referral
pholcodine,Day time cold relief,,Human,Referral
pholcodine,Dimetane,,Human,Referral
pholcodine,Ephedromel,,Human,Referral
pholcodine,Eucalyptine Pholcodine,,Human,Referral
pholcodine,Flucalyptol,,Human,Referral
pholcodine,Folkodin Alkaloid,,Human,Referral
pholcodine,Galenphol,,Human,Referral
pholcodine,Hexapneumine,,Human,Referral
pholcodine,Hill's Balsam,,Human,Referral
pholcodine,Humex,,Human,Referral
pholcodine,Myrtine,,Human,Referral
pholcodine,Night time Cold relief,,Human,Referral
pholcodine,Nirolex,,Human,Referral
pholcodine,Pavacol-D,,Human,Referral
pholcodine,Pectoral Richelet,,Human,Referral
pholcodine,Pectorhinyl,,Human,Referral
pholcodine,Pharmakod,,Human,Referral
pholcodine,Pholco-mereprine,,Human,Referral
pholcodine,Pholcodex,,Human,Referral
pholcodine,Pholcodine,,Human,Referral
pholcodine,Pholcodine containing medicinal products,,Human,Referral
pholcodine,Polery,,Human,Referral
pholcodine,Potter's Pholcodine cough pastilles,,Human,Referral
pholcodine,Pulmadol,,Human,Referral
pholcodine,Pulmosodyl,,Human,Referral
pholcodine,Respilene,,Human,Referral
pholcodine,Rhinathiol,,Human,Referral
pholcodine,Solpadeine Cold & Flu,,Human,Referral
pholcodine,Strong Pholcodine Linctus BP,,Human,Referral
pholcodine,Tixylix,,Human,Referral
pholcodine,Trophires,,Human,Referral
Pimecrolimus,Aregen,,Human,Referral
Pimecrolimus,Douglan,,Human,Referral
Pimecrolimus,Elidel,,Human,Referral
Pimecrolimus,Isaplic,,Human,Referral
Pimecrolimus,Ombex,,Human,Referral
Pimecrolimus,Pimecrolimus,,Human,Referral
Pimecrolimus,Pimecrolimus Novartis,,Human,Referral
Pimecrolimus,Rizan,,Human,Referral
Pimecrolimus,Velov,,Human,Referral
pimobendan / benazepril,FORTEKOR PLUS,EU/2/15/185,Veterinary,Centralised
pioglitazone,Actos,EU/1/00/150,Human,Centralised
pioglitazone,Glustin,EU/1/00/151,Human,Centralised
pioglitazone,Paglitaz,EU/1/11/721,Human,Centralised
pioglitazone,Pioglitazone Accord,EU/1/11/722,Human,Centralised
pioglitazone,Pioglitazone Actavis,EU/1/12/755,Human,Centralised
pioglitazone,Pioglitazone Actavis Group,EU/1/12/756,Human,Centralised
pioglitazone,Pioglitazone Krka,EU/1/11/723,Human,Centralised
pioglitazone,Pioglitazone Teva,EU/1/12/757,Human,Centralised
pioglitazone,Pioglitazone Teva Pharma,EU/1/12/758,Human,Centralised
pioglitazone,Sepioglin,EU/1/12/754,Human,Centralised
Pioglitazone / Glimepiride,Tandemact,EU/1/06/366,Human,Centralised
Pioglitazone / metformin,Competact,EU/1/06/354,Human,Centralised
Pioglitazone / metformin hydrochloride,Glubrava,EU/1/07/421,Human,Centralised
piperacillin-tazobactam,Tazobac,,Human,Referral
piperacillin-tazobactam,Tazocel,,Human,Referral
piperacillin-tazobactam,Tazocilline,,Human,Referral
piperacillin-tazobactam,Tazocin,,Human,Referral
piperacillin-tazobactam,Tazocin and associated names,,Human,Referral
piperacillin-tazobactam,Tazonam,,Human,Referral
piperaquine tetraphosphate/artenimol,Eurartesim,EU/1/11/716,Human,Centralised
Pirfenidone,Esbriet,EU/1/11/667,Human,Centralised
pirlimycin hydrochloride,Pirsue,EU/2/00/027,Veterinary,Centralised
Piroxicam,A.M. Piroxicam,,Human,Referral
Piroxicam,Antiflog,,Human,Referral
Piroxicam,Apo-Piroxicam,,Human,Referral
Piroxicam,Artroxicam,,Human,Referral
Piroxicam,Bleduran,,Human,Referral
Piroxicam,Brexidol,,Human,Referral
Piroxicam,Brexin,,Human,Referral
Piroxicam,Brexin L,,Human,Referral
Piroxicam,Brexine,,Human,Referral
Piroxicam,Brexinil,,Human,Referral
Piroxicam,Brexivel,,Human,Referral
Piroxicam,Bruxicam,,Human,Referral
Piroxicam,Calmopyrol,,Human,Referral
Piroxicam,Cicladol,,Human,Referral
Piroxicam,Ciclafast,,Human,Referral
Piroxicam,Clevian,,Human,Referral
Piroxicam,Conzila,,Human,Referral
Piroxicam,Cycladol,,Human,Referral
Piroxicam,Dexicam,,Human,Referral
Piroxicam,Doblexan,,Human,Referral
Piroxicam,Dociproxi,,Human,Referral
Piroxicam,Durapirox,,Human,Referral
Piroxicam,Erazon,,Human,Referral
Piroxicam,Errekam,,Human,Referral
Piroxicam,Euroxi,,Human,Referral
Piroxicam,Fasax,,Human,Referral
Piroxicam,Felcam,,Human,Referral
Piroxicam,Feldegel,,Human,Referral
Piroxicam,Felden,,Human,Referral
Piroxicam,Felden Quick,,Human,Referral
Piroxicam,Feldene,,Human,Referral
Piroxicam,Finalgel,,Human,Referral
Piroxicam,Finalgel Sport,,Human,Referral
Piroxicam,Flamatrol,,Human,Referral
Piroxicam,Flamexin,,Human,Referral
Piroxicam,Flexar,,Human,Referral
Piroxicam,Flexase,,Human,Referral
Piroxicam,Flexirox,,Human,Referral
Piroxicam,Flodeneu,,Human,Referral
Piroxicam,Flodol,,Human,Referral
Piroxicam,Flogocan,,Human,Referral
Piroxicam,Geldene,,Human,Referral
Piroxicam,Grecotens,,Human,Referral
Piroxicam,Hotemin,,Human,Referral
Piroxicam,Huma-Pirocam,,Human,Referral
Piroxicam,Ig 20 I.M.,,Human,Referral
Piroxicam,Improntal,,Human,Referral
Piroxicam,Inflaced,,Human,Referral
Piroxicam,Ipsoflog,,Human,Referral
Piroxicam,Jenapirox,,Human,Referral
Piroxicam,Kentene,,Human,Referral
Piroxicam,Lampoflex,,Human,Referral
Piroxicam,Maxiflam,,Human,Referral
Piroxicam,Merck-Piroxicam,,Human,Referral
Piroxicam,Mobilat P Cream,,Human,Referral
Piroxicam,Neo Axedil,,Human,Referral
Piroxicam,Olcam,,Human,Referral
Piroxicam,Oxicam,,Human,Referral
Piroxicam,Oximezin,,Human,Referral
Piroxicam,Painrelipt-D,,Human,Referral
Piroxicam,Pc-Fice,,Human,Referral
Piroxicam,Pedifan,,Human,Referral
Piroxicam,Piro,,Human,Referral
Piroxicam,Pirobeta,,Human,Referral
Piroxicam,Pirocam,,Human,Referral
Piroxicam,Pirocutan,,Human,Referral
Piroxicam,Piroflam,,Human,Referral
Piroxicam,Piroflex,,Human,Referral
Piroxicam,Piroftal,,Human,Referral
Piroxicam,Pirom,,Human,Referral
Piroxicam,Piromed,,Human,Referral
Piroxicam,Pirorheum,,Human,Referral
Piroxicam,Pirotec,,Human,Referral
Piroxicam,Pirowieb,,Human,Referral
Piroxicam,Pirox,,Human,Referral
Piroxicam,Pirox Gel,,Human,Referral
Piroxicam,Pirox-Ct,,Human,Referral
Piroxicam,Piroxal,,Human,Referral
Piroxicam,Piroxi,,Human,Referral
Piroxicam,Piroxicam,,Human,Referral
Piroxicam,Piroxicam-B,,Human,Referral
Piroxicam,Piroxicamstada,,Human,Referral
Piroxicam,Piroxidex,,Human,Referral
Piroxicam,Piroxigea,,Human,Referral
Piroxicam,Piroxiject,,Human,Referral
Piroxicam,Piroxin,,Human,Referral
Piroxicam,Piroxistad,,Human,Referral
Piroxicam,Piroxitop,,Human,Referral
Piroxicam,Piroxsal,,Human,Referral
Piroxicam,Piroxymed,,Human,Referral
Piroxicam,Pirozip,,Human,Referral
Piroxicam,Pivaloxicam,,Human,Referral
Piroxicam,Polipirox,,Human,Referral
Piroxicam,Polydene,,Human,Referral
Piroxicam,Pro-Roxikam,,Human,Referral
Piroxicam,Proponol,,Human,Referral
Piroxicam,Proxalyoc,,Human,Referral
Piroxicam,Pxi,,Human,Referral
Piroxicam,Pyrcost,,Human,Referral
Piroxicam,Raia,,Human,Referral
Piroxicam,Remisil,,Human,Referral
Piroxicam,Reucam,,Human,Referral
Piroxicam,Reumador,,Human,Referral
Piroxicam,Reumagil,,Human,Referral
Piroxicam,Reumoxican,,Human,Referral
Piroxicam,Riacen,,Human,Referral
Piroxicam,Roxazin,,Human,Referral
Piroxicam,Roxene,,Human,Referral
Piroxicam,Roxenil,,Human,Referral
Piroxicam,Roxiden,,Human,Referral
Piroxicam,Roxitan,,Human,Referral
Piroxicam,Ruvamed,,Human,Referral
Piroxicam,Salvacam,,Human,Referral
Piroxicam,Sasulen,,Human,Referral
Piroxicam,Sinartrol,,Human,Referral
Piroxicam,Solicam,,Human,Referral
Piroxicam,Sotilen,,Human,Referral
Piroxicam,Spirox,,Human,Referral
Piroxicam,Tonimed,,Human,Referral
Piroxicam,Traumahexal,,Human,Referral
Piroxicam,Valopon,,Human,Referral
Piroxicam,Veralgesic,,Human,Referral
Piroxicam,Vitaxicam,,Human,Referral
Piroxicam,Zerospam,,Human,Referral
Piroxicam,Zitumex,,Human,Referral
Piroxicam,Zofora,,Human,Referral
Pitolisant hydrochloride,Wakix,EU/1/15/1068,Human,Centralised
pixantrone,Pixuvri,EU/1/12/764,Human,Centralised
Plerixafor,Mozobil,EU/1/09/537,Human,Centralised
"pneumoccocal saccharide conjugated vaccine, adsorbed",Prevenar,EU/1/00/167,Human,Centralised
"Pneumococcal polysaccharide conjugate vaccine (13-valent, adsorbed)",Prevenar 13,EU/1/09/590,Human,Centralised
Pneumococcal polysaccharide conjugate vaccine (adsorbed),Synflorix,EU/1/09/508,Human,Centralised
Pomalidomide,Imnovid,EU/1/13/850,Human,Centralised
ponatinib,Iclusig,EU/1/13/839,Human,Centralised
Porcine circovirus and Mycoplasma hyopneumoniae vaccine (inactivated),Porcilis PCV M Hyo,EU/2/14/175,Veterinary,Centralised
Porcine circovirus and porcine enzootic pneumonia vaccine (inactivated),Suvaxyn Circo + MH RTU,EU/2/15/190,Veterinary,Centralised
"Porcine circovirus recombinant virus (cpcv) 1-2, inactivated",Suvaxyn PCV,EU/2/09/099,Veterinary,Centralised
Porcine circovirus type 2 ORF2 protein minimum RP1.0 Maximum RP 3.75,Ingelvac CircoFLEX,EU/2/07/079,Veterinary,Centralised
Porcine circovirus type 2 ORF2 subunit antigen,Porcilis PCV ID,EU/2/15/187,Veterinary,Centralised
Porcine circovirus vaccine (inactivated),Ingelvac PCV FLEX,EU/2/17/208,Veterinary,Centralised
"Porcine circovirus vaccine (inactivated, recombinant)",Suvaxyn Circo,EU/2/17/223,Veterinary,Centralised
Porcine influenza vaccine (inactivated),RESPIPORC FLUpan H1N1,EU/2/17/209,Veterinary,Centralised
Porcine post-weaning diarrhoea vaccine (live),Coliprotec F4/F18,EU/2/16/202,Veterinary,Centralised
Porcine respiratory and reproductive syndrome virus vaccine (live),Suvaxyn PRRS MLV,EU/2/17/215,Veterinary,Centralised
Porfimer sodium,PhotoBarr,EU/1/04/272,Human,Centralised
Posaconazole,Noxafil,EU/1/05/320,Human,Centralised
Posaconazole,Posaconazole SP,EU/1/05/321,Human,Centralised
Pradofloxacin,Veraflox,EU/2/10/107,Veterinary,Centralised
Pradofloxacin,Veraflox (Refusal),,Veterinary,Centralised Refusal
Pralatrexate,Folotyn,,Human,Centralised Refusal
pramipexole,Daquiran,EU/1/97/052,Human,Centralised
pramipexole,Mirapexin,EU/1/97/051,Human,Centralised
pramipexole,Oprymea,EU/1/08/469,Human,Centralised
pramipexole,Pramipexole Accord,EU/1/11/728,Human,Centralised
pramipexole,Pramipexole Teva,EU/1/08/490,Human,Centralised
pramipexole,Sifrol,EU/1/97/050,Human,Centralised
pramipexole,pramipexole,,Human,Referral
prasterone,Intrarosa,EU/1/17/1255,Human,Centralised
prasugrel,Efient,EU/1/08/503,Human,Centralised
Pravastatin,Bristacol,,Human,Referral
Pravastatin,Elisor,,Human,Referral
Pravastatin,Lipemol,,Human,Referral
Pravastatin,Lipostat,,Human,Referral
Pravastatin,Liprevil,,Human,Referral
Pravastatin,Pravachol,,Human,Referral
Pravastatin,Pravacol,,Human,Referral
Pravastatin,Pravasin,,Human,Referral
Pravastatin,Pravasine,,Human,Referral
Pravastatin,Selectin,,Human,Referral
Pravastatin,Selektine,,Human,Referral
Pravastatin,Selip,,Human,Referral
Pravastatin,Selipran,,Human,Referral
"Praziquantel, pyrantel and febantel",Canitel Plus,,Veterinary,Referral
"Praziquantel, pyrantel and febantel",Cazitel,,Veterinary,Referral
"Praziquantel, pyrantel and febantel",Cazitel Plus,,Veterinary,Referral
"Praziquantel, pyrantel and febantel",Easimax plus,,Veterinary,Referral
"Praziquantel, pyrantel and febantel",Exitel,,Veterinary,Referral
"Praziquantel, pyrantel and febantel",Exitel Plus,,Veterinary,Referral
"Praziquantel, pyrantel and febantel",Milaxyn,,Veterinary,Referral
"Praziquantel, pyrantel and febantel",Milaxyn Plus and associated names,,Veterinary,Referral
"Praziquantel, pyrantel and febantel",Prazical,,Veterinary,Referral
"Praziquantel, pyrantel and febantel",Prazical Plus,,Veterinary,Referral
"Praziquantel, pyrantel and febantel",Prazitel,,Veterinary,Referral
"Praziquantel, pyrantel and febantel",Prazitel Plus,,Veterinary,Referral
"Praziquantel, pyrantel and febantel",Strantel,,Veterinary,Referral
"Praziquantel, pyrantel and febantel",Strantel Plus,,Veterinary,Referral
"Praziquantel, pyrantel and febantel",Voxical,,Veterinary,Referral
"Praziquantel, pyrantel and febantel",Voxical Plus,,Veterinary,Referral
Prednisolone,Equisolon,EU/2/14/161,Veterinary,Centralised
Prednisolone sodium phosphate,Okrido,,Human,Referral
pregabalin,Lyrica,EU/1/04/279,Human,Centralised
pregabalin,Pregabalin Accord,EU/1/15/1027,Human,Centralised
pregabalin,Pregabalin Mylan,EU/1/15/997,Human,Centralised
pregabalin,Pregabalin Mylan Pharma,EU/1/15/998,Human,Centralised
pregabalin,Pregabalin Pfizer,EU/1/14/916,Human,Centralised
pregabalin,Pregabalin Sandoz,EU/1/15/1011,Human,Centralised
pregabalin,Pregabalin Sandoz GmbH,EU/1/15/1012,Human,Centralised
pregabalin,Pregabalin Zentiva,EU/1/15/1021,Human,Centralised
pregabalin,Pregabalin Zentiva k.s,EU/1/16/1166,Human,Centralised
"Prepandemic influenza vaccine (A/H5N1) (whole virion, Vero cell derived, inactivated)",Vepacel,EU/1/12/752,Human,Centralised
"Prepandemic influenza vaccine (H5N1) (split virion, inactivated, adjuvanted)","Prepandemic influenza vaccine (H5N1) (split virion, inactivated, adjuvanted) GlaxoSmithKline Biologicals",EU/1/08/478,Human,Centralised
"Prepandemic influenza vaccine (H5N1) (split virion, inactivated, adjuvanted)",Prepandrix,EU/1/08/453,Human,Centralised
"Prepandemic influenza vaccine (H5N1) (surface antigen, inactivated, adjuvanted)",Aflunov,EU/1/10/658,Human,Centralised
"Prepandemic influenza vaccine (H5N1) (surface antigen, inactivated, adjuvanted)",Prepandemic Influenza,EU/1/10/657,Human,Centralised
Propentofylline,Kronos,,Human,Centralised Refusal
Propentofylline,Viviq,,Human,Centralised Refusal
propranolol,Hemangiol,EU/1/14/919,Human,Centralised
Propylhexedrine / Fenbutrazate,Cafilon,,Human,Referral
Propylhexedrine / Fenbutrazate,Eventin,,Human,Referral
Propylhexedrine / Fenbutrazate,Propylhexedrine,,Human,Referral
Protein C,Ceprotin,EU/1/01/190,Human,Centralised
"Protein dO, inactevated Bordetella bronchiseptica cells",Porcilis AR-T DF,EU/2/00/026,Veterinary,Centralised
prucalopride,Resolor,EU/1/09/581,Human,Centralised
Purified antigen fractions of inactivated split virions A/VietNam/1194/2004 NIBRG-14 (H5N1),Adjupanrix,EU/1/09/578,Human,Centralised
"purified, inactivated foot-and-mouth disease virus strains O1 Manisa, O1 BFS, O Taiwan 3/97, A22 Iraq, A24 Cruzeiro, A Turkey 14/98, Asia 1 Shamir, SAT2 Saudi Arabia",Aftovaxpur Doe,EU/2/13/153,Veterinary,Centralised
pyriprole,Prac-Tic,EU/2/06/066,Veterinary,Centralised
quetiapine,Alzen SR,,Human,Referral
quetiapine,Quetiapine XR,,Human,Referral
quetiapine,Seroquel Depot,,Human,Referral
quetiapine,"    ,,",,Human,Referral
quetiapine,Seroquel Prolong,,Human,Referral
quetiapine,"    ,,",,Human,Referral
quetiapine,Seroquel SR,,Human,Referral
quetiapine,"    ,,",,Human,Referral
quetiapine,Seroquel XL,,Human,Referral
quetiapine,Seroquel XR,,Human,Referral
quetiapine,Seroquel XR and associated names,,Human,Referral
quetiapine,Seroquel/Seroquel XR and associated names,,Human,Referral
quetiapine,Xeroquel,,Human,Referral
quetiapine,Xeroquel LP,,Human,Referral
rabbit haemorrhagic disease vaccine (inactivated),ERAVAC,EU/2/16/199,Veterinary,Centralised
Rabies recombinant canarypox virus (vCP65),Purevax Rabies,EU/2/10/117,Veterinary,Centralised
"Rabies vaccine (live, oral) for foxes and raccoon dogs",Rabitec,EU/2/17/219,Veterinary,Centralised
Radium Ra 223 dichloride,Xofigo,EU/1/13/873,Human,Centralised
Raloxifene hydrochloride,Evista,EU/1/98/073,Human,Centralised
Raloxifene hydrochloride,Optruma,EU/1/98/074,Human,Centralised
Raloxifene hydrochloride,Raloxifene Teva,EU/1/10/627,Human,Centralised
raltegravir,Isentress,EU/1/07/436,Human,Centralised
ramipril,Acovil,,Human,Referral
ramipril,Cardace,,Human,Referral
ramipril,Delix,,Human,Referral
ramipril,Hypren,,Human,Referral
ramipril,Loavel,,Human,Referral
ramipril,Pramace,,Human,Referral
ramipril,Quark,,Human,Referral
ramipril,Ramace,,Human,Referral
ramipril,RamiWin,,Human,Referral
ramipril,Ramikit,,Human,Referral
ramipril,Ramilich,,Human,Referral
ramipril,Ramipril Medgenerics,,Human,Referral
ramipril,Ramipril Winthrop,,Human,Referral
ramipril,Tazko,,Human,Referral
ramipril,Triatec,,Human,Referral
ramipril,Tritace,,Human,Referral
ramipril,Unipril,,Human,Referral
ramipril,Vasotop,,Veterinary,Referral
